"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"213 ","영동군민장학회","난계국악장학금","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 50만원","○ 국악관련 전공 고등학생○ 본인의 전공 또는 학과가 국악계열임을 증빙할 자료(생활기록부) 제출 필수","○ 장학생 신청일로부터 이전 6개월이상 계속 영동군에 거주하고 있는 군민 또는 그 자녀 (조손가정 포함)","※ 기관확인필요","○ 5명","○ 중복 부문 신청 불가능○ (재)영동군민장학회 장학생으로 선발되어 재학중 2회 이상 장학금을 받은 자○ 당해연도에 도비 또는 군비로 지급하는 장학금을 받은 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학생신청서○ 개인(신용)정보 수집·이용·제공 및 조회 동의서○ 주민등록등본○ 주민등록초본○ 가족관계증명서○ 직전학기 성적증명서○ 재학증명서○ 국악 관련 전공 명시된 재학증명서(생활기록부로 대체 가능)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.yd21.go.kr","2025-08-29","2025-09-12"
"214 ","재단법인 옥천군장학회","옥천인재장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","1학년2학년3학년","○ 예체능을 제외한 직전학기 성적 원점수 평균 70점 이상","○ 해당없음","○ 100만원","○ 관내 고등학교 재학 중인 자 또는 관내 중학교를 졸업하고 관외 고등학교에 재학중인 자○ 관할 교육청의 중학교 학구제에 따라 관외 중학교에 재학 중인 자","○ 공고일 현재 1년 이상 옥천군에 주소를 두고 계속 거주하고 있는 군민 또는 군민의 자녀","○ 학교성적 80% 소득수준(건강보험 고지금액) 20%○ 학교성적 : 예체능 제외한 직전학기 성적○ 동점자 : 관내학교 재학 및 졸업자 > 수급자 및 차상위계층 > 소득수준 > 성적","○ 30명","○ 당해연도 충북인재평생교육진흥원 및 옥천국이 출연한 기관이나 단체로부터 장학금을 받는 자○ 동일인에 대하여 초/중/고/대학교 재학 중 각 1회만 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학생 신청서○ 개인정보 수집/이용/제공 및 조회 동의서○ 주민등록등본○ 성적증명서○ 건강보험 납부내역서 (또는 자격득실확인서)○ 관내중학교 졸업증명서(해당자)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://ocjh.oc.go.kr","2026-04-20","2026-04-27"
"215 ","재단법인 옥천군장학회","희망장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","1학년2학년3학년","○ 해당없음","○ 수급자 / 한부모가정 / 차상위계층 / 장애학생 등 우선 순위","○ 50만원","○ 효행 및 선행 등 타의 모범이 되는 자○ 경제적 어려움에도 성적이 우수한 자※ 개별 신청 받지 않음 / 읍·면 추천에 의한 공문 발송","○ 공고일 현재 1년 이상 옥천군에 주소를 두고 계속 거주하고 있는 군민 또는 군민의 자녀","○ 이장협의회 의견수렴 추천 후 읍/면장 확인에 의함","○ 11명 (초/중/고등학생 포함)","○ 당해연도 충북인재평생교육진흥원 및 옥천국이 출연한 기관이나 단체로부터 장학금을 받는 자○ 동일인에 대하여 초/중/고/대학교 재학 중 각 1회만 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 읍면장추천","○ 희망 장학생 추천서○ 주민등록등본 ○ 개인정보 수집/이용/제공 및 조회 동의서○ 소득증빙서류(해당자)○ 기초생활수급자/한부모가정/차상위계층/장애인 증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://ocjh.oc.go.kr","2026-04-20","2026-04-27"
"216 ","재단법인 옥천군장학회","점프장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","2학년3학년","○ 전년도 대비 석차가 재적인원의 15%이상 향상된 자","○ 해당없음","○ 30만원","○ 전년도 1학기 말 대비 2학기 말 석차가 재적인원의 15% 이상 향상 된 학생 중 학교장이 추천한 자 (향상 정도가 큰 학생 우선 선발)","○ 부모(보호자) 또는 본인이 옥천군에 주소를 두고 장학생 선발 공고일 현재 1년 이상 계속 거주한 자","※ 기관확인필요","○ 30명※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 당해연도 충북인재평생교육진흥원에서 장학금을 지원 받은 자○ 당해연도 옥천군이 출연한 기관이나 단체로부터 장학금을 받은 자○ 동일인에 대하여 초/중/고/대 재학 중 각 1회만 선발","○ 학교장 추천에 의함","○ 점프장학생 학교장 추천서○ 주민등록등본 1부○ 성적증명서○ 가족관계증명서(해당자)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://ocjh.oc.go.kr","2026-04-20","2026-04-27"
"217 ","재단법인 옥천군장학회","특기장학생","지자체(출자출연기관)","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 전국/ 국제/ 개인/ 단체/ 순위에 따른 차등 지급※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 관내 고등학교 재학생 혹은 관내 중학교 졸업 후 관외 고등학교 재학생○ 국제/전국 단위 예체능 분야 및 각종 경시대회 입상한 개인 또는 단체","○ 공고일 현재 1년 이상 옥천군에 주소를 두고 계속 거주하고 있는 군민 또는 군민의 자녀","○ 학교장 추천※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 30명 (초/중/고등학생 포함)","○ 당해연도 충북인재평생교육진흥원 및 옥천군이 출연한 기관이나 단체로부터 장학금을 받는 자○ 동일인에 대하여 초/중/고/대학교 재학 중 각 1회만 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천에 의한 공문 발송","○ 장학생 추천서○ 주민등록등본 (추가 가족관계증명서)○ 개인정보 수집/이용/제공 및 조회 동의서○ 대회 입상 증명서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://ocjh.oc.go.kr","2025-10-10","2025-10-17"
"218 ","재단법인 옥천군장학회","다자녀장학생","지자체(출자출연기관)","장학금","해당없음","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 해당없음","○ 해당없음","○ 50만원","○ 3자녀 이상 가정의 자녀 중 고등학교 재학 중인 학생 1명만 신청","○ 공고일 현재 부 또는 모와 학생이 옥천군에 1년 이상 주민등록을 둔 다자녀(3자녀 이상) 가정","※ 기관확인필요","○ 초중고 학생 490명 선발","○ 한 가정당 한 명만 지원 가능○ 타 단체 기관 재단 등의 장학금 신청 예정인 학생은 제외 대상이 될 수 있으므로 신청 전 여부를 꼭 확인※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 신청서○ 개인정보 동의서○ 가족관계증명서○ 주민등록등본○ 재학증명서○ 통장사본○ 장학금 지급 신청서○ 서약서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://ocjh.oc.go.kr","2026-03-16","2026-03-20"
"219 ","(재)음성군장학회","성적우수장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ (신입생) 중학교 내신석차 연명부 점수 280점 이상인 자○ (재학생) 직전학년 과목별 석차등급이 평균 3등급 이내인 자(예체능 과목 제외)※ 단 충북반도체고등학교의 경우 과목별 석차등급 평균 4등급 이내인 자","○ 해당없음","○ 90만원 (상/하반기 분할 지급)","○ 국내 고등학교 학생","○ 공고일 현재 1년 이상 음성군에 주민등록을 두고 계속 거주하는 군민 또는 군민의 자녀","○ (신입생) 중학교 내신 석차 연명부 점수○ (재학생) 석차등급별 등급점수 부여 후 이수단위까지 반영하여 산출된 교과점수로 평가○ 동점자의 경우 국어/수학/영어 순서로 석차등급이 높은 순으로 선발","○ 50명 (관내 30명/관외20명)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 명문고 특별장학생○ 2026년 음성군장학회 타 장학금을 수혜 받는 자는 중복신청 불가○ 2026년 졸업예정자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ (관내고등학생) 학교별 배정 인원수에 따라 학교장 추천","○ 신청서○ 주민등록등본○ 통장사본 (본인 또는 학부모)○ 가족관계증명서 (해당자)○ 관외재학생 : 학교장 직인이나 담임인장이 날인된 생활기록부 사본 또는 성적증명서○ 신입생 : 석차연명부 사본 (음성군 관외 중학교 졸업자의 경우)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://scholarship.eumseong.go.kr","2026-04-01","2026-04-24"
"220 ","(재)음성군장학회","JUMP장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","2학년3학년","○ 2024년 1학기 말 대비 2024년 2학기 말 석차가 본인 석차의 15% 이상 향상된 학생","해당없음","○ 20만원","○ 자유학기제 시행으로 성적 산출이 어려운 경우 중 하위권 학생 중 자신의 꿈을 열정적으로 찾은 학생으로 추천○ 국내 고등학교 학생","○ 공고일 현재 1년 이상 음성군에 주민등록을 두고 계속 거주하는 군민 또는 군민의 자녀","※ 기관확인필요","○ 50명※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 2025년 음성군장학회 타 장학금을 수혜 받는 자는 중복신청 불가○ 2025년 졸업예정자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 신청서○ 주민등록등본○ 통장사본(본인 또는 부모)○ 가족관계증명서(해당자)○ (관내학교) 학교장 추천서 공문으로 대체/성적증명 별도요청 예정○ (그 외 학교) 성적증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://scholarship.eumseong.go.kr","2025-02-03","2025-02-28"
"221 ","(재)음성군장학회","특기장학생","지자체(출자출연기관)","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 해당없음","○ 해당없음","○ 90만원 (상/하반기 분할 지급)","○ 학술·예술·체육·기능 분야에서 탁월한 능력을 발휘하는 학생○ 공공기관 및 민간단체가 주최·주관한 전국규모 이상 대회에서 3위 이상 수상한 자○ 단체로 수상한 경우 학교장 추천을 받은 1명만 신청※ 수상실적 : 2025. 1. 1 ~ 2025. 12. 31(기간 외 수상실적 불인정)","○ 공고일 현재 1년 이상 음성군에 주민등록을 두고 계속 거주하는 군민 또는 군민의 자녀","○ 대회규모별 수상실적 순으로 평가※ 동급 수상의 경우 고학년 생일이 빠른 학생 우선 선발","○ 8명","○ 2025년 음성군 장학회 기능우수장학생으로 선발된 자○ 2026년 음성군장학회 타 장학금을 수혜 받는 자는 중복신청 불가○ 2026년 졸업예정자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천(단체수상자)","○ 신청서○ 주민등록등본○ 통장사본(본인 또는 부모)○ 상장사본○ 가족관계증명서(해당자)○ 학교장추천서(단체수상자)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://scholarship.eumseong.go.kr","2026-04-01","2026-04-24"
"222 ","(재)음성군장학회","다문화장학생","지자체(출자출연기관)","장학금","기타","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 해당없음","○ 해당없음","○ 90만원 (상/하반기 분할 지급)","○ 다문화 가정 자녀 중 타의 모범이 되는 자","○ 공고일 현재 1년 이상 음성군에 주민등록을 두고 계속 거주하는 군민 또는 군민의 자녀","○ 학교장 추천 후 성적순 선발","○ 10명 (관내학교 9명/그 외 학교 1명)","○ 한 가정 당 최대 한 명만 선발○ 2026년 음성군장학회 타 장학금을 수혜 받는 자는 중복신청 불가○ 2026년 졸업예정자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 신청서○ 주민등록등본○ 통장사본(본인 또는 부모)○ 가족관계증명서○ 기본증명서○ 결혼이민자임을 증명하는 혼인증명서○ (관내학교) 학교장 추천서 공문으로 대체/성적증명 별도요청 예정○ (그 외 학교) 성적증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://scholarship.eumseong.go.kr","2026-04-01","2026-04-24"
"223 ","(재)음성군장학회","희망(장애)장학생","지자체(출자출연기관)","장학금","장애인","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 해당없음","○ 해당없음","○ 90만원 (상/하반기 분할 지급)","○ 장애등록이 되어 있는 자로 타의 모범이 되는 자","○ 공고일 현재 1년 이상 음성군에 주민등록을 두고 계속 거주하는 군민 또는 군민의 자녀","○ 성적 50% (24년도 1~2학기) 소득수준 50%※ 동점자의 경우 장애등급이 높은 학생 우선 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 1명","○ 2026년 음성군장학회 타 장학금을 수혜 받는 자는 중복신청 불가○ 2026년 졸업예정자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 해당없음","○ 신청서○ 주민등록등본○ 통장사본(본인 또는 부모)○ 가족관계증명서(해당자)○ 장애인등록증 또는 장애인증명서○ 2025년 부모의 건강/장기요양보험 납부확인서 또는 자격득실확인서○ 생활기록부 사본 또는 성적증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://scholarship.eumseong.go.kr","2026-04-01","2026-04-24"
"224 ","(재)음성군장학회","꿈드림장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 해당없음","○ 본인 또는 부모가 기초생활수급자/차상위계층/한부모가족지원대상자로 등록되어 있는 자","○ 90만원 (상/하반기 분할 지급)","○ 가정형편이 어렵고 불우한 환경의 우수 학생으로 타의 모범이 되는 자○ 학교 밖 청소년으로 음성군 학교밖청소년지원센터에 등록되어 있는 자 중 타의 모범이 되는 자","○ 공고일 현재 1년 이상 음성군에 주민등록을 두고 계속 거주하는 군민 또는 군민의 자녀","○ 성적순 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 관내학교 8명/그 외 학교 1명○ 음성군 학교밖청소년 6명(중·고 총합)","○ 한 가정 당 최대 한 명만 선발○ 2026년 음성군장학회 타 장학금을 수혜 받는 자는 중복신청 불가○ 2026년 졸업예정자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 관내 5개 고등학교에서 2명 이내 추천○ 학교 밖 청소년은 음성군 학교밖청소년지원센터에서 추천","○ 신청서○ 주민등록등본○ 통장사본(본인 또는 부모)○ 가족관계증명서(해당자)○ 기초생활수급자증명서/한부모가족증명서 또는 읍면에서 발급하는 차상위계층 증빙서류○ (관내학교) 학교장 추천서 공문으로 대체/성적증명 별도요청 예정○ (그 외 학교) 성적증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://scholarship.eumseong.go.kr","2026-04-01","2026-04-24"
"225 ","(재)음성군장학회","다자녀장학금","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 해당없음","○ 해당없음","○ 90만원 (상/하반기 분할 지급)","○ 자녀 3명 이상의 다자녀 가구 학생 중 타의 모범이 되는 자","○ 공고일 현재 1년 이상 음성군에 주민등록을 두고 계속 거주하는 군민 또는 군민의 자녀","○ 관내 5개 고등학교에서 4명 이내 추천받아 선발○ 그 외 학교 학생은 첨부파일 내 고교 성적우수자 평가기준 적용하여 선발 ","○ 21명 (관내학교 18명 / 그 외 학교 3명)","○ 한 가정 당 최대 한 명만 선발○ 2026년 음성군장학회 타 장학금을 수혜 받는 자는 중복신청 불가○ 2026년 졸업예정자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 신청서○ 주민등록등본○ 가족관계증명서○ 통장사본(본인 또는 부모)○ (관내학교) 학교장 추천서 공문으로 대체/성적증명 별도요청 예정○ (그 외 학교) 성적증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://scholarship.eumseong.go.kr","2026-04-01","2026-04-24"
"226 ","제천시인재육성재단","특별장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","1학년2학년3학년제한없음","○ 해당없음","○ 해당없음","○ 200만원","○ 본인이 한수면·덕산면·수산면 해당 학구 중학교를 졸업하고 제천 관내 고등학교(청암학교 포함)에 재학하는 학생 중 제천시에 주소를 둔 학생※ 부모 보호자의 주소가 관내 지역이 아니라도 신청가능※ 수산면 능강리 상천리 하천리 서곡리에서 청풍중학교를 졸업한 학생도 지원 가능","○ 제천시에 주소를 둔 학생 (보호자의 주소가 관내가 아니라도 신청가능)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 기관확인필요","○ 5명","○ 해당없음","○ 학교장 추천","○ 중학교 졸업증명서 (신입생에 한함)○ 고등학교 재학증명서○ 학생 주민등록초본 (공고일 1개월 이전까지만 인정)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.jcbrain.kr/","2026-03-13","2026-03-27"
"227 ","제천시인재육성재단","우수장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고외국어고일반고","1학년","○ 관내 고등학교 신입생(고1) 중 입학성적 우수자","○ 해당없음","○ 1등 : 200만원○ 2등 : 150만원○ 3등 : 100만원","○ 관내 고등학교 신입생 중 수석 및 우수입학생 (1~3등)","○ 관내 고등학교 재학생","※ 기관확인필요","○ 18명 ","○ 해당없음","○ 소속 학교장 추천","※ 기관확인필요","http://www.jcbrain.kr/","2026-03-13","2026-03-27"
"228 ","제천시인재육성재단","꿈나무장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 해당없음","○ 해당없음","○ 전국대회○ 개인 : 1등 70만원/ 2등 60만원/ 3등 50만원/ 4등 40만원/ 5등 30만원○ 단체 : 1등 150만원/ 2등 120만원/ 3등 100만원/ 4등 70만원 / 5등 50만원※ 도대회 입상자 및 다수 자격증 소지자의 경우 첨부파일 참조","○ 관내 고등학생으로 2025. 11. 1 ~ 2026. 2. 28 기간 중 학술/ 예술/ 체육/ 기능/ 봉사 및 기타분야에서 두각을 나타낸 학생 또는 단체(개인과 단체는 중복하여 선발하지 않음)","○ 관내 고등학교 재학생","○ 도단위 대회를 거쳐서 전국대회에서 입상(1~5등) 혹은 도대회에서 입상 (1~3등)한 학생 또는 단체일 시 별도의 심사 없이 증빙서 확인 및 자격조회 후 선정○ 봉사/ 선행/ 리더십 등 특정분야에서 전국적인 성과를 거양한 자일 경우 인재육성재단 이사회 심의에 거쳐 선정","○ 120명(초·중학교 선발인원 포함)","○ 해당없음","○ 학교장 추천","○ 장학생 추천서○ 실적을 증빙할 수 있는 서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.jcbrain.kr/","2026-03-13","2026-03-27"
"229 ","계룡시애향장학회","특기장학생","지자체(출자출연기관)","장학금","특기자","과학고마이스터고영재고예술고외국어고일반고체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 50만원","○ 품행이 단정하고 타의 모범이 되는 자○ 전국 규모 대회에서 3위 이내 입상한 학생 (예체능 및 인문/사회/과학/기술/기능 분야)○ 도단위 교육감 규모 대회에서 최고 상(1위) 입상자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 선발공고일 기준으로 1년 전부터 계속하여 계룡시에 주소를 두고 거주하는 주민 또는 주민의 자녀","※ 기관확인필요","○ 32명 (초/중/고등학생 포함인원)","※ 기관확인필요","○ 학교장 추천","○ 신청서○ 서약서○ 개인정보의 수집·이용에 관한 동의서○ 계룡시 1년이상 거주자 주민등록초본○ 학교장 추천서○ 대회 상장 사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.gyeryong.go.kr","2025-03-10","2025-03-12"
"230 ","계룡시애향장학회","모범장학생","지자체(출자출연기관)","장학금","지역연고","일반고","1학년2학년3학년제한없음","해당없음","해당없음","○ 50만원","○ 관내 학교 학생 중 바른 태도로 타의 모범이 되거나 가정형편이 어려운 학생※ 성적과 관계없으며 타 장학금과 중복 수혜 불가  ","○ 선발공고일 기준으로 1년 전부터 계속하여 계룡시에 주민등록 주소를 둔 주민 또는 주민의 자녀","※ 기관확인필요","○ 11명","○ 이전 계룡시애향장학생 선발자 또는 국외연수 수혜자 제외○ 재단 내 타 장학금과 중복수혜불가","○ 학교장 추천 필요","○ 장학금 신청서○ 서약서○ 개인정보의 수집 이용 동의서○ 주민등록초본○ 학교장 추천서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.gyeryong.go.kr","2025-03-10","2025-03-12"
"231 ","공주시한마음장학회","장애인가정자녀 장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 80만원","○ 학생 또는 부모 중 한 사람이 등록장애인(심하지 않은 장애 심한 장애)의 저소득층 가정 학생","○ 관내 소재 초·중·고등학교 재학생 또는 졸업자○ 장학생 선발 공고일 기준 장학생 또는 장학생의 보호자(부모 조부모 외조부모 실양육자)가 공주시에 1년 이상 계속해서 주민등록을 둔 자","○ (재)공주시한마음장학회 운영세칙의 선발기준에 의거 (재)공주시한마음장학회 이사회에서 선발○ 장학생 선발명단은 공주시한마음장학회 홈페이지에 게시(개별통지 안함)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 10명","○ 학교에서 징계처분을 받거나 자퇴 등으로 더 이상 학업을 수행하지 않는 경우○ 추천권자 및 학교장으로부터 중지 요구가 있을 경우 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장(교사) 추천","○ 장학금 추천·신청서○ 개인정보 수집·이용·제공 및 조회 동의서○ 주민등록등본 또는 초본○ 재학증명서○ 가족관계증명서○ 통장사본○ 장애인 등록증 사본 또는 장애인 증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.gongju.go.kr","2025-10-10","2025-10-24"
"232 ","공주시한마음장학회","이통장자녀장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","2학년3학년","○ 직전학기 과목별 석차 3등급 이내 과목이 50% 이상인 학생","○ 해당없음","○ 100만원","○ 이통장 자녀","○ 관내 소재 초·중·고등학교 재학생 또는 졸업자○ 장학생 선발 공고일 기준 장학생 또는 장학생의 보호자(부모/ 조부모/ 외조부모/ 실양육자)가 공주시에 1년 이상 계속해서 주민등록을 둔 자","○ (재)공주시한마음장학회 운영세칙의 선발기준에 의거 (재)공주시한마음장학회 이사회에서 선발","○ 10명","○ 학교에서 징계처분을 받거나 자퇴 등으로 더 이상 학업을 수행하지 않는 경우○ 추천권자 및 학교장으로부터 중지 요구가 있을 경우○ 분야별 중복신청 불가","○ 공주시 행정지원과 추천","○ 장학금 신청서○ 개인정보 수집/이용/제공 및 조회 동의서○ 주민등록등본○ 재학증명서○ 신청인 서약서○ 가족관계증명서○ 통장사본(보호자 통장 가능)○ 학교생활기록부※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://gjjanghak.org","2026-04-08","2026-04-28"
"233 ","공주시한마음장학회","다문화가정자녀장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 80만원","○ 부모 중 한사람이 외국인인 가정의 자녀로 가정 형편이 어려운 품행이 바르고 행실의 타의 귀감이 되는 학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 관내 소재 초중고등학교 재학생 또는 졸업자○ 장학생 선발 공고일 기준 장학생 또는 장학생의 보호자(부모 조부모 외조부모 실양육자)가 공주시에 1년 이상 계속해서 주민등록을 둔 자","○ (재)공주시한마음장학회 운영세칙의 선발기준에 의거 (재)공주시한마음장학회 이사회에서 선발○ 장학생 선발명단은 공주시한마음장학회 홈페이지에 게시※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 20명","○ 학교에서 징계처분을 받거나 자퇴 등으로 더 이상 학업을 수행하지 않는 경우○ 추천권자 및 학교장으로부터 중지 요구가 있을 경우※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장(교사) 추천","○ 장학금 추천·신청서○ 개인정보 수집·이용·제공 및 조회 동의서○ 주민등록등본 또는 초본○ 재학증명서○ 가족관계증명서○ 통장사본○ 기본증명서(외국인) 또는 외국인등록증※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.gongju.go.kr","2025-10-10","2025-10-24"
"234 ","공주시한마음장학회","희망복지장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","해당없음","○ 해당없음","○ 국민기초 수급자/ 차상위 계층/ 저소득 한부모 가족 및 저소득 가정의 자녀","○ 180만원 (월 15만원12개월분)","○ 효/선행/봉사 등 타의모범이 되는 학업열의가 있는 학생","○ 관내 소재 초·중·고등학교 재학생○ 장학생 선발 공고일 기준 장학생 또는 장학생의 보호자(부모/ 조부모/ 외조부모/ 실양육자)가 공주시에 1년 이상 계속해서 주민등록을 둔 자","○ (재)공주시한마음장학회 운영세칙의 선발기준에 의거 (재)공주시한마음장학회 이사회에서 선발","○ 18명","○ 학교에서 징계처분을 받거나 자퇴 등으로 더 이상 학업을 수행하지 않는 경우○ 추천권자 및 학교장으로부터 중지 요구가 있을 경우○ 분야별 중복신청 불가","○ 읍면동장 추천","○ 장학금 신청서○ 개인정보 수집이용 제공 및 조회 동의서○ 신청인 서약서○ 주민등록 등본 또는 초본○ 가족관계증명서○ 재학증명서○ 통장사본(보호자 통장 가능)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://gjjanghak.org","2026-04-08","2026-04-28"
"235 ","공주시한마음장학회","성적우수장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고외국어고일반고","해당없음","○ 직전 학기 과목별 석차가 3등급 이내 과목이 70% 이상인 학생또는 직전 전국연합학력평가 4개영역(국어 / 수학 / 영어 / 탐구) 중 3등급 이내 과목이 3개영역 이상인 학생","○ 해당없음","○ 80만원","○ 해당없음","○ 관내 소재 초·중·고등학교 재학생 또는 졸업자○ 장학생 선발 공고일 기준 장학생 또는 장학생의 보호자(부모/ 조부모/ 외조부모/ 실양육자)가 공주시에 1년 이상 계속해서 주민등록을 둔 자","○ (재)공주시한마음장학회 운영세칙의 선발기준에 의거 (재)공주시한마음장학회 이사회에서 선발○ 장학생 선발명단은 공주시한마음장학회 홈페이지에 게시(개별통지 안함)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 25명","○ 학교에서 징계처분을 받거나 자퇴 등으로 더 이상 학업을 수행하지 않는 경우추천권자 및 학교장으로부터 중지 요구가 있을 경우 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장(교사) 추천","○ 장학금 추천·신청서○주민등록등본 또는 초본○ 재학증명서○ 가족관계증명서○ 통장사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.gongju.go.kr","2026-04-08","2026-04-28"
